ObservationDate,Shorthand,From,To,Price
15/01/2009,Q3_12,01/07/2012,30/09/2012,0.569
15/01/2009,Q4_12,01/10/2012,31/12/2012,0.6735
15/01/2009,Q1_13,01/01/2013,31/03/2013,0.7515
15/01/2009,Q2_13,01/04/2013,30/06/2013,0.6035
15/01/2009,Q3_13,01/07/2013,30/09/2013,0.5805
15/01/2009,Q4_13,01/10/2013,31/12/2013,0.6835
15/01/2009,Q1_14,01/01/2014,31/03/2014,0.7615
15/01/2009,Q2_14,01/04/2014,30/06/2014,0.612
16/01/2009,Q2_09,01/04/2009,30/06/2009,0.4755
16/01/2009,Q3_09,01/07/2009,30/09/2009,0.4505
16/01/2009,Q4_09,01/10/2009,31/12/2009,0.5695
16/01/2009,Q1_10,01/01/2010,31/03/2010,0.6375
16/01/2009,Q2_10,01/04/2010,30/06/2010,0.5205
16/01/2009,Q3_10,01/07/2010,30/09/2010,0.4975
16/01/2009,Q4_10,01/10/2010,31/12/2010,0.5975
16/01/2009,Q1_11,01/01/2011,31/03/2011,0.6705
16/01/2009,Q2_11,01/04/2011,30/06/2011,0.555
16/01/2009,Q3_11,01/07/2011,30/09/2011,0.532
16/01/2009,Q4_11,01/10/2011,31/12/2011,0.639
16/01/2009,Q1_12,01/01/2012,31/03/2012,0.715
16/01/2009,Q2_12,01/04/2012,30/06/2012,0.5845
16/01/2009,Q3_12,01/07/2012,30/09/2012,0.5615
16/01/2009,Q4_12,01/10/2012,31/12/2012,0.6575
16/01/2009,Q1_13,01/01/2013,31/03/2013,0.7355
16/01/2009,Q2_13,01/04/2013,30/06/2013,0.5955
16/01/2009,Q3_13,01/07/2013,30/09/2013,0.5725
16/01/2009,Q4_13,01/10/2013,31/12/2013,0.6685
16/01/2009,Q1_14,01/01/2014,31/03/2014,0.7465
16/01/2009,Q2_14,01/04/2014,30/06/2014,0.605
19/01/2009,Q2_09,01/04/2009,30/06/2009,0.4375
19/01/2009,Q3_09,01/07/2009,30/09/2009,0.4165
19/01/2009,Q4_09,01/10/2009,31/12/2009,0.5315
19/01/2009,Q1_10,01/01/2010,31/03/2010,0.6015
19/01/2009,Q2_10,01/04/2010,30/06/2010,0.4845
19/01/2009,Q3_10,01/07/2010,30/09/2010,0.4615
19/01/2009,Q4_10,01/10/2010,31/12/2010,0.5635
19/01/2009,Q1_11,01/01/2011,31/03/2011,0.6365
19/01/2009,Q2_11,01/04/2011,30/06/2011,0.5165
19/01/2009,Q3_11,01/07/2011,30/09/2011,0.4935
19/01/2009,Q4_11,01/10/2011,31/12/2011,0.596
19/01/2009,Q1_12,01/01/2012,31/03/2012,0.672
19/01/2009,Q2_12,01/04/2012,30/06/2012,0.549
19/01/2009,Q3_12,01/07/2012,30/09/2012,0.526
19/01/2009,Q4_12,01/10/2012,31/12/2012,0.617
19/01/2009,Q1_13,01/01/2013,31/03/2013,0.695
19/01/2009,Q2_13,01/04/2013,30/06/2013,0.566
19/01/2009,Q3_13,01/07/2013,30/09/2013,0.543
19/01/2009,Q4_13,01/10/2013,31/12/2013,0.631
19/01/2009,Q1_14,01/01/2014,31/03/2014,0.709
19/01/2009,Q2_14,01/04/2014,30/06/2014,0.5775
20/01/2009,Q2_09,01/04/2009,30/06/2009,0.4415
20/01/2009,Q3_09,01/07/2009,30/09/2009,0.4205
20/01/2009,Q4_09,01/10/2009,31/12/2009,0.5365
20/01/2009,Q1_10,01/01/2010,31/03/2010,0.6065
20/01/2009,Q2_10,01/04/2010,30/06/2010,0.494
20/01/2009,Q3_10,01/07/2010,30/09/2010,0.471
20/01/2009,Q4_10,01/10/2010,31/12/2010,0.5715
20/01/2009,Q1_11,01/01/2011,31/03/2011,0.6445
20/01/2009,Q2_11,01/04/2011,30/06/2011,0.519
20/01/2009,Q3_11,01/07/2011,30/09/2011,0.496
20/01/2009,Q4_11,01/10/2011,31/12/2011,0.602
20/01/2009,Q1_12,01/01/2012,31/03/2012,0.678
20/01/2009,Q2_12,01/04/2012,30/06/2012,0.549
20/01/2009,Q3_12,01/07/2012,30/09/2012,0.526
20/01/2009,Q4_12,01/10/2012,31/12/2012,0.622
20/01/2009,Q1_13,01/01/2013,31/03/2013,0.7
20/01/2009,Q2_13,01/04/2013,30/06/2013,0.5685
20/01/2009,Q3_13,01/07/2013,30/09/2013,0.5455
20/01/2009,Q4_13,01/10/2013,31/12/2013,0.636
20/01/2009,Q1_14,01/01/2014,31/03/2014,0.714
20/01/2009,Q2_14,01/04/2014,30/06/2014,0.5795
21/01/2009,Q2_09,01/04/2009,30/06/2009,0.447
21/01/2009,Q3_09,01/07/2009,30/09/2009,0.428
21/01/2009,Q4_09,01/10/2009,31/12/2009,0.5445
21/01/2009,Q1_10,01/01/2010,31/03/2010,0.6145
21/01/2009,Q2_10,01/04/2010,30/06/2010,0.4965
21/01/2009,Q3_10,01/07/2010,30/09/2010,0.4735
21/01/2009,Q4_10,01/10/2010,31/12/2010,0.5755
21/01/2009,Q1_11,01/01/2011,31/03/2011,0.6485
21/01/2009,Q2_11,01/04/2011,30/06/2011,0.5265
21/01/2009,Q3_11,01/07/2011,30/09/2011,0.5035
21/01/2009,Q4_11,01/10/2011,31/12/2011,0.605
21/01/2009,Q1_12,01/01/2012,31/03/2012,0.681
21/01/2009,Q2_12,01/04/2012,30/06/2012,0.554
21/01/2009,Q3_12,01/07/2012,30/09/2012,0.531
21/01/2009,Q4_12,01/10/2012,31/12/2012,0.625
21/01/2009,Q1_13,01/01/2013,31/03/2013,0.703
21/01/2009,Q2_13,01/04/2013,30/06/2013,0.573
21/01/2009,Q3_13,01/07/2013,30/09/2013,0.55
21/01/2009,Q4_13,01/10/2013,31/12/2013,0.639
21/01/2009,Q1_14,01/01/2014,31/03/2014,0.717
21/01/2009,Q2_14,01/04/2014,30/06/2014,0.584
22/01/2009,Q2_09,01/04/2009,30/06/2009,0.4545
